seeding.strategy,rep,strategy,final_rate,peak_rate,plateau,relapse,steps_to_fixed_point,converged,n_adopted,n_not_able,n_not_willing,n_not_ready,n_relapsed,curve,dept_rates,team_rates
broadcast,0,broadcast,0.0725,0.0725,0.0725,0.0,12,True,29,0,47,324,0,"[0.0, 0.0225, 0.0275, 0.035, 0.0375, 0.04, 0.045, 0.055, 0.06, 0.065, 0.07, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725, 0.0725]","{""0"": 0.1933, ""1"": 0.0306, ""2"": 0.0109, ""3"": 0.0222}","[0.0, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.125, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.2, 0.125, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
broadcast,1,broadcast,0.0325,0.0325,0.0325,0.0,3,True,13,0,59,328,0,"[0.0, 0.0275, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325, 0.0325]","{""0"": 0.0098, ""1"": 0.01, ""2"": 0.0674, ""3"": 0.0463}","[0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0909, 0.0, 0.0, 0.4286, 0.0, 0.0, 0.0, 0.0, 0.1667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111, 0.0, 0.2857, 0.1818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
random,0,random,0.1075,0.1125,0.1075,0.005,20,True,43,0,62,287,8,"[0.05, 0.06, 0.06, 0.0675, 0.0825, 0.0925, 0.0925, 0.095, 0.105, 0.11, 0.11, 0.1075, 0.11, 0.1125, 0.1125, 0.1125, 0.11, 0.11, 0.11, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075, 0.1075]","{""0"": 0.0187, ""1"": 0.0204, ""2"": 0.1212, ""3"": 0.2737}","[0.4, 0.2, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.1429, 1.0, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0833, 0.0, 0.0, 0.0, 0.0, 0.8571, 0.0, 0.0, 0.0, 0.6667, 0.0, 0.0, 0.125, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
random,1,random,0.4675,0.4675,0.4675,-0.0,20,True,187,0,51,156,6,"[0.05, 0.06, 0.065, 0.08, 0.0975, 0.1175, 0.145, 0.1675, 0.1875, 0.2075, 0.24, 0.2725, 0.295, 0.315, 0.3475, 0.385, 0.4275, 0.4525, 0.465, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675]","{""0"": 0.0196, ""1"": 0.8947, ""2"": 0.8673, ""3"": 0.0112}","[0.8, 0.0, 0.8462, 0.6667, 0.0, 0.1667, 0.7778, 0.8889, 0.0, 0.0, 0.8333, 0.8462, 0.0, 0.0, 0.8333, 0.7778, 0.0, 0.0, 0.8889, 0.6667, 0.0, 0.0, 0.9, 0.8571, 0.0, 0.0, 1.0, 0.9091, 0.1667, 0.0, 1.0, 1.0, 0.0, 0.0, 0.8, 1.0, 0.0, 0.0, 1.0, 0.7143, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.8571, 1.0, 0.0, 0.0]"
cluster,0,cluster,0.3325,0.3325,0.3325,0.0,16,True,133,0,52,215,0,"[0.05, 0.0675, 0.0825, 0.105, 0.13, 0.1625, 0.1975, 0.225, 0.24, 0.25, 0.2675, 0.2875, 0.3025, 0.3175, 0.33, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325, 0.3325]","{""0"": 0.0, ""1"": 0.4639, ""2"": 0.866, ""3"": 0.0291}","[0.6, 0.0, 0.0, 0.9091, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.5556, 0.0, 0.0, 0.0, 0.8889, 0.0, 0.0, 1.0, 0.875, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.8, 0.6, 0.0, 0.0, 1.0, 0.8, 0.0, 0.0, 0.8, 1.0, 0.0, 0.0, 0.8333, 1.0, 0.0, 0.0, 1.0, 0.7143, 0.0, 0.0, 0.0, 1.0, 0.2727, 0.0]"
cluster,1,cluster,0.4725,0.4725,0.4725,0.0,24,True,189,0,59,152,0,"[0.05, 0.0625, 0.0775, 0.0975, 0.135, 0.17, 0.185, 0.2, 0.22, 0.2275, 0.2375, 0.25, 0.275, 0.2875, 0.3025, 0.3175, 0.3475, 0.38, 0.41, 0.435, 0.4525, 0.4575, 0.465, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725]","{""0"": 0.0268, ""1"": 0.1895, ""2"": 0.8247, ""3"": 0.9158}","[0.4, 0.0667, 1.0, 0.8182, 1.0, 0.0, 0.4, 1.0, 1.0, 0.0, 0.0, 0.7, 1.0, 0.0, 0.0, 0.8333, 0.6667, 0.0, 0.0, 0.875, 1.0, 0.0, 0.3333, 0.875, 1.0, 0.0, 0.0, 0.6667, 0.875, 0.0, 0.0, 0.8889, 1.0, 0.0833, 0.0, 0.8333, 0.9091, 0.0, 0.0, 0.625, 0.875, 0.125, 0.0, 0.8889, 0.875, 0.0, 0.875, 1.0, 0.8333, 0.0]"
