seeding.strategy,org.silo_strength,rep,strategy,final_rate,peak_rate,plateau,relapse,steps_to_fixed_point,converged,n_adopted,n_not_able,n_not_willing,n_not_ready,n_relapsed,curve,dept_rates,team_rates
random,0.9,0,random,0.4725,0.4725,0.4725,0.0,27,True,189,0,58,153,0,"[0.05, 0.065, 0.0725, 0.08, 0.085, 0.0925, 0.1075, 0.1175, 0.1325, 0.1425, 0.1525, 0.1775, 0.1975, 0.2175, 0.24, 0.27, 0.285, 0.3025, 0.315, 0.3375, 0.36, 0.3875, 0.41, 0.435, 0.4525, 0.4675, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725]","{""0"": 0.0444, ""1"": 0.8421, ""2"": 0.0693, ""3"": 0.8584}","[0.6, 0.375, 0.6667, 0.0769, 0.6, 0.0, 0.8571, 0.0, 1.0, 0.0, 0.6, 0.0, 0.9, 0.0, 1.0, 0.0, 1.0, 0.0, 0.8571, 0.0, 1.0, 0.0, 0.8182, 0.2222, 0.875, 0.0, 0.8571, 0.0, 1.0, 0.1667, 1.0, 0.0, 0.9091, 0.0, 0.8889, 0.6, 0.6, 0.0, 0.875, 0.0769, 0.75, 0.0, 0.6667, 0.0, 0.75, 0.0, 1.0, 0.0, 0.75, 0.0]"
random,0.9,1,random,0.66,0.66,0.66,0.0,29,True,264,0,57,79,0,"[0.05, 0.0675, 0.0825, 0.105, 0.1425, 0.175, 0.21, 0.2425, 0.2975, 0.3675, 0.4, 0.4225, 0.45, 0.4675, 0.485, 0.505, 0.535, 0.55, 0.5725, 0.5825, 0.5875, 0.5975, 0.605, 0.61, 0.6175, 0.625, 0.63, 0.65, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66]","{""0"": 0.8776, ""1"": 0.8692, ""2"": 0.8526, ""3"": 0.0404}","[0.8, 0.6667, 1.0, 0.8182, 0.125, 0.8333, 1.0, 0.8333, 0.0, 1.0, 0.7778, 1.0, 0.1, 0.8333, 0.9, 0.8333, 0.0, 0.8571, 0.8462, 0.6364, 0.0, 0.8571, 0.8889, 0.875, 0.0, 1.0, 0.625, 0.9, 0.0, 0.875, 0.875, 0.9, 0.1, 0.7143, 0.9, 1.0, 0.0, 0.8333, 1.0, 0.8333, 0.0, 0.875, 0.8, 0.8333, 0.0, 1.0, 0.75, 0.8571, 0.0, 1.0]"
random,0.95,0,random,0.475,0.475,0.475,0.0,26,True,190,0,65,145,0,"[0.05, 0.0725, 0.085, 0.0975, 0.11, 0.1225, 0.1425, 0.1675, 0.1925, 0.2125, 0.2475, 0.28, 0.32, 0.36, 0.37, 0.38, 0.3875, 0.4, 0.4075, 0.41, 0.415, 0.4275, 0.4475, 0.455, 0.4675, 0.475, 0.475, 0.475, 0.475, 0.475, 0.475, 0.475, 0.475, 0.475, 0.475, 0.475, 0.475, 0.475, 0.475, 0.475, 0.475]","{""0"": 0.8411, ""1"": 0.1087, ""2"": 0.0693, ""3"": 0.8283}","[0.6, 0.875, 0.125, 0.0, 1.0, 0.8, 0.2, 0.0, 0.8333, 1.0, 0.3, 0.2857, 0.7692, 1.0, 0.2222, 0.0, 1.0, 0.75, 0.0, 0.0, 0.7143, 0.9167, 0.0, 0.6, 0.875, 0.75, 0.0, 0.0, 0.75, 0.75, 0.1429, 0.0, 1.0, 0.7, 0.125, 0.0, 0.8, 0.6667, 0.0, 0.0, 0.625, 0.9286, 0.0, 0.1, 0.875, 0.7143, 0.1667, 0.125, 0.8571, 1.0]"
random,0.95,1,random,0.6425,0.6425,0.6425,0.0,15,True,257,0,49,94,0,"[0.05, 0.0725, 0.095, 0.13, 0.1675, 0.2075, 0.2525, 0.295, 0.34, 0.3875, 0.4425, 0.515, 0.5875, 0.625, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425, 0.6425]","{""0"": 0.9082, ""1"": 0.8864, ""2"": 0.8529, ""3"": 0.027}","[0.6, 0.7778, 1.0, 0.8182, 0.0, 0.9091, 1.0, 0.7, 0.0, 1.0, 0.8182, 0.8333, 0.0, 0.8889, 0.8571, 1.0, 0.0, 1.0, 0.875, 0.9091, 0.0667, 0.8571, 0.8, 0.8182, 0.0, 0.6667, 0.875, 0.6667, 0.1429, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.8889, 0.0, 0.875, 0.75, 0.8, 0.0, 1.0, 0.8333, 1.0, 0.125, 0.8, 1.0, 0.875, 0.0, 1.0]"
cluster,0.5,0,cluster,0.195,0.195,0.195,0.0,13,True,78,0,59,263,0,"[0.05, 0.0625, 0.065, 0.0725, 0.0825, 0.1025, 0.1275, 0.1525, 0.1575, 0.1725, 0.185, 0.1925, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195, 0.195]","{""0"": 0.1101, ""1"": 0.0408, ""2"": 0.62, ""3"": 0.0}","[0.2, 0.0, 0.1, 0.625, 0.0, 0.1667, 0.0, 0.8333, 0.0, 0.0, 0.0, 0.9167, 0.0, 0.0, 0.0, 1.0, 0.0, 0.1111, 0.0, 1.0, 0.0, 0.3333, 0.0, 1.0, 0.0, 1.0, 0.0, 0.8889, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0833, 0.0, 0.1667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0]"
cluster,0.5,1,cluster,0.22,0.22,0.22,-0.0,17,True,88,0,53,259,0,"[0.05, 0.06, 0.0675, 0.0925, 0.1075, 0.125, 0.13, 0.1375, 0.15, 0.16, 0.18, 0.1875, 0.1975, 0.205, 0.215, 0.2175, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22, 0.22]","{""0"": 0.0, ""1"": 0.2105, ""2"": 0.0392, ""3"": 0.5981}","[0.2, 0.0, 0.8, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0909, 0.1, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.8, 0.0, 0.1, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.7778, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.7857, 0.0, 1.0, 0.0, 0.0, 0.0]"
cluster,0.6,0,cluster,0.46,0.46,0.46,-0.0,30,True,184,0,52,164,0,"[0.05, 0.0725, 0.0925, 0.1125, 0.13, 0.1525, 0.1725, 0.1925, 0.2125, 0.23, 0.255, 0.2675, 0.2775, 0.3025, 0.32, 0.335, 0.345, 0.3525, 0.36, 0.3725, 0.375, 0.3825, 0.4025, 0.4225, 0.425, 0.43, 0.435, 0.4425, 0.455, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46, 0.46]","{""0"": 0.8333, ""1"": 0.91, ""2"": 0.0571, ""3"": 0.0612}","[0.6, 0.6667, 1.0, 0.0909, 0.0, 0.7143, 0.8889, 0.0, 0.0, 0.8, 1.0, 0.3636, 0.0, 0.5556, 1.0, 0.0833, 0.0909, 0.75, 0.9, 0.0, 0.0, 0.8, 0.8182, 0.0, 0.0, 0.875, 0.9167, 0.0, 0.0, 1.0, 0.8, 0.0, 0.0909, 1.0, 1.0, 0.0, 0.2, 1.0, 1.0, 0.0, 0.4286, 0.875, 0.875, 0.0, 0.0, 0.8333, 0.75, 0.0, 0.0, 0.75]"
cluster,0.6,1,cluster,0.2475,0.2475,0.2475,0.0,13,True,99,0,48,253,0,"[0.05, 0.0675, 0.0825, 0.1, 0.115, 0.145, 0.175, 0.185, 0.195, 0.21, 0.2175, 0.2375, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475]","{""0"": 0.901, ""1"": 0.0104, ""2"": 0.0737, ""3"": 0.0}","[0.2, 1.0, 0.0, 0.1667, 0.0, 1.0, 0.0, 0.0, 0.0, 0.2857, 0.0, 0.0, 0.0, 0.8, 0.0, 0.1, 0.0, 1.0, 0.0, 1.0, 0.0, 0.7143, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.8182, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.1429, 0.0, 0.0, 1.0]"
cluster,0.7,0,cluster,0.4025,0.4025,0.4025,0.0,26,True,161,0,65,174,0,"[0.05, 0.07, 0.085, 0.1, 0.115, 0.1325, 0.145, 0.1625, 0.1775, 0.1825, 0.1875, 0.1925, 0.1975, 0.2125, 0.2275, 0.2425, 0.26, 0.27, 0.29, 0.3075, 0.33, 0.34, 0.3625, 0.3775, 0.395, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025, 0.4025]","{""0"": 0.0086, ""1"": 0.8315, ""2"": 0.837, ""3"": 0.0784}","[0.6, 0.0, 0.8889, 0.8, 0.1, 0.0, 0.6667, 1.0, 0.0, 0.0, 0.8571, 1.0, 0.0, 0.0, 0.875, 0.9091, 0.0, 0.0, 0.6667, 0.8889, 0.0, 0.0, 0.7778, 0.8, 0.0, 0.0, 0.7143, 0.4286, 0.0, 0.0, 0.8571, 0.625, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.8, 0.125, 0.1429, 1.0, 0.8571, 1.0, 0.0, 0.5, 0.8333, 0.0, 0.0]"
cluster,0.7,1,cluster,0.335,0.335,0.335,0.0,25,True,134,0,61,205,0,"[0.05, 0.0725, 0.085, 0.105, 0.1275, 0.1425, 0.16, 0.165, 0.1775, 0.19, 0.205, 0.2275, 0.255, 0.2725, 0.28, 0.285, 0.2875, 0.29, 0.295, 0.2975, 0.3025, 0.3125, 0.3275, 0.3325, 0.335, 0.335, 0.335, 0.335, 0.335, 0.335, 0.335, 0.335, 0.335, 0.335, 0.335, 0.335, 0.335, 0.335, 0.335, 0.335, 0.335]","{""0"": 0.82, ""1"": 0.0278, ""2"": 0.0, ""3"": 0.5333}","[0.6, 0.7778, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.1429, 0.6667, 0.0, 0.0, 0.6667, 0.9, 0.1111, 0.0, 1.0, 0.7143, 0.2222, 0.0, 1.0, 0.6667, 0.0, 0.0, 1.0, 0.6667, 0.0, 0.0, 1.0, 0.8889, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.6667, 0.7143, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.8889, 0.0, 0.0, 0.0, 1.0]"
cluster,0.8,0,cluster,0.2475,0.2475,0.2475,0.0,14,True,99,0,66,235,0,"[0.05, 0.0725, 0.085, 0.1025, 0.1175, 0.1425, 0.1675, 0.1925, 0.205, 0.2175, 0.2225, 0.2325, 0.245, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475, 0.2475]","{""0"": 0.2804, ""1"": 0.0, ""2"": 0.1319, ""3"": 0.5044}","[0.0, 0.75, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.8571, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0833, 0.6667, 0.1429, 0.0, 0.1667, 0.9, 0.0, 0.0, 1.0, 0.8182, 0.0, 0.0, 1.0, 0.6667, 0.0, 0.0, 0.0, 0.0909, 0.0, 0.0, 0.0, 0.1667, 0.0, 0.0, 0.0, 0.0909, 0.7778, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.2222, 1.0]"
cluster,0.8,1,cluster,0.4675,0.4675,0.4675,-0.0,17,True,187,0,46,167,0,"[0.05, 0.075, 0.105, 0.13, 0.145, 0.1675, 0.1825, 0.195, 0.2075, 0.235, 0.2825, 0.3275, 0.3725, 0.4175, 0.4425, 0.4625, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675, 0.4675]","{""0"": 0.0101, ""1"": 0.0, ""2"": 0.9057, ""3"": 0.899}","[0.6, 0.0, 0.0, 0.5714, 1.0, 0.0, 0.0, 1.0, 0.75, 0.0, 0.0, 0.9, 1.0, 0.0, 0.0, 0.8333, 1.0, 0.0, 0.0, 0.9, 0.8333, 0.0, 0.0, 1.0, 0.9091, 0.0, 0.0, 0.8182, 1.0, 0.1429, 0.0, 0.9, 0.8462, 0.0, 0.0, 1.0, 0.7778, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.8, 0.0, 0.0, 0.875, 1.0, 0.0]"
cluster,0.9,0,cluster,0.1325,0.1325,0.1325,0.0,6,True,53,0,63,284,0,"[0.05, 0.085, 0.105, 0.1175, 0.13, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325, 0.1325]","{""0"": 0.0, ""1"": 0.1471, ""2"": 0.1474, ""3"": 0.2474}","[0.2, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.1667, 0.0, 0.0, 0.7143, 0.0, 0.0, 0.0, 0.1429, 0.0, 0.3333, 0.0, 0.0, 0.0, 0.875, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.4286, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1429, 0.0, 0.0, 0.0, 0.0, 0.0]"
cluster,0.9,1,cluster,0.245,0.245,0.245,-0.0,11,True,98,0,57,245,0,"[0.05, 0.075, 0.1025, 0.115, 0.1375, 0.16, 0.1875, 0.2025, 0.2225, 0.2425, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245, 0.245]","{""0"": 0.0, ""1"": 0.3636, ""2"": 0.2529, ""3"": 0.3673}","[0.4, 0.0, 1.0, 0.4286, 0.0833, 0.0, 1.0, 0.0, 0.875, 0.0, 1.0, 0.0, 1.0, 0.0, 0.875, 0.0, 1.0, 0.0, 0.0, 0.1111, 0.8889, 0.0, 0.0, 0.0, 0.1429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.8571, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.9, 1.0, 0.0, 0.0]"
cluster,0.95,0,cluster,0.3625,0.3625,0.3625,0.0,28,True,145,0,55,200,0,"[0.05, 0.07, 0.095, 0.1075, 0.1225, 0.1325, 0.135, 0.14, 0.1575, 0.1625, 0.175, 0.185, 0.195, 0.2075, 0.215, 0.2225, 0.235, 0.2475, 0.2575, 0.2725, 0.2875, 0.3, 0.3175, 0.3325, 0.34, 0.35, 0.36, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625]","{""0"": 0.3084, ""1"": 0.2371, ""2"": 0.0, ""3"": 0.8713}","[0.6, 0.6667, 0.0, 0.0, 1.0, 0.5, 0.0, 0.0, 0.8333, 0.7143, 0.0, 0.0, 0.9, 1.0, 0.0, 0.0, 0.8333, 0.8571, 0.0, 0.0, 1.0, 0.0, 0.5, 0.0, 0.7273, 0.0, 0.7, 0.0, 1.0, 0.0, 0.9091, 0.0, 1.0, 0.0, 0.5, 0.0, 0.8333, 0.0, 0.0, 0.0, 0.8889, 0.0, 0.0, 0.0, 0.625, 0.0, 0.0, 0.0, 0.875, 0.0]"
cluster,0.95,1,cluster,0.4725,0.4725,0.4725,0.0,27,True,189,0,47,164,0,"[0.05, 0.0775, 0.1025, 0.1325, 0.1625, 0.2, 0.2275, 0.25, 0.27, 0.2975, 0.3325, 0.35, 0.3625, 0.37, 0.38, 0.39, 0.3975, 0.4025, 0.4125, 0.4275, 0.4375, 0.4425, 0.4475, 0.455, 0.4625, 0.47, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725, 0.4725]","{""0"": 0.8926, ""1"": 0.0106, ""2"": 0.8587, ""3"": 0.0109}","[0.4, 1.0, 0.0, 0.9, 0.0, 0.9091, 0.1, 0.8889, 0.0, 1.0, 0.0, 0.8, 0.0, 0.875, 0.0, 0.8182, 0.0, 0.9091, 0.0, 1.0, 0.1667, 0.75, 0.0, 1.0, 0.0, 0.6667, 0.0, 0.6667, 0.0, 1.0, 0.0, 0.5, 0.0, 0.875, 0.0, 0.8333, 0.0, 0.9333, 0.0, 0.875, 0.0, 0.7778, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]"
