seeding.strategy,org.silo_strength,rep,strategy,final_rate,peak_rate,plateau,relapse,steps_to_fixed_point,converged,n_adopted,n_not_able,n_not_willing,n_not_ready,n_relapsed,curve,dept_rates,team_rates
broadcast,0.95,0,broadcast,0.0375,0.0375,0.0375,0.0,5,True,15,0,68,317,0,"[0.0, 0.025, 0.03, 0.035, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375, 0.0375]","{""0"": 0.0288, ""1"": 0.0385, ""2"": 0.08, ""3"": 0.0}","[0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1429, 0.125, 0.0, 0.0, 0.0, 0.2857, 0.2857, 0.0, 0.1111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.1111, 0.0, 0.25, 0.0, 0.0]"
broadcast,0.95,1,broadcast,0.1375,0.1375,0.1375,0.0,18,True,55,0,54,291,0,"[0.0, 0.0225, 0.0275, 0.0325, 0.035, 0.0425, 0.055, 0.0625, 0.065, 0.0675, 0.075, 0.0825, 0.0925, 0.105, 0.1225, 0.1325, 0.135, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375, 0.1375]","{""0"": 0.0099, ""1"": 0.4851, ""2"": 0.03, ""3"": 0.0206}","[0.2, 0.0, 1.0, 0.0, 0.1, 0.0, 0.0769, 0.0, 0.0, 0.0, 0.0833, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8889, 0.0, 0.0, 0.0, 0.875, 0.3333, 0.0, 0.0, 0.8333, 0.0, 0.0, 0.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.0, 0.0, 0.0, 0.9, 0.1429, 0.0, 0.0]"
random,0.5,0,random,0.85,0.85,0.85,0.0,27,True,340,0,60,0,0,"[0.05, 0.0675, 0.0825, 0.1025, 0.1125, 0.125, 0.1375, 0.1475, 0.1575, 0.1675, 0.1825, 0.2025, 0.2125, 0.2425, 0.2875, 0.33, 0.36, 0.4, 0.45, 0.5025, 0.56, 0.6175, 0.6625, 0.725, 0.78, 0.84, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85]","{""0"": 0.8381, ""1"": 0.8542, ""2"": 0.8208, ""3"": 0.9022}","[0.8, 0.7273, 1.0, 1.0, 0.8571, 0.6667, 0.7273, 0.9231, 1.0, 1.0, 0.75, 0.8333, 1.0, 0.75, 0.6667, 0.8571, 1.0, 0.875, 0.875, 1.0, 1.0, 1.0, 1.0, 0.8, 0.8, 0.9, 0.8571, 0.7, 0.8182, 0.875, 0.7778, 1.0, 0.875, 0.75, 1.0, 0.75, 0.8889, 1.0, 0.6667, 0.8, 0.8889, 0.75, 0.875, 0.75, 1.0, 0.875, 1.0, 0.5556, 0.9091, 0.75]"
random,0.5,1,random,0.845,0.845,0.845,0.0,30,True,338,0,62,0,0,"[0.05, 0.07, 0.08, 0.1, 0.13, 0.1575, 0.1875, 0.215, 0.2475, 0.2675, 0.2875, 0.31, 0.3175, 0.325, 0.34, 0.37, 0.4125, 0.4325, 0.4575, 0.505, 0.5675, 0.625, 0.6625, 0.7, 0.7425, 0.7825, 0.8075, 0.825, 0.8375, 0.845, 0.845, 0.845, 0.845, 0.845, 0.845, 0.845, 0.845, 0.845, 0.845, 0.845, 0.845]","{""0"": 0.7864, ""1"": 0.8646, ""2"": 0.8864, ""3"": 0.8482}","[0.8, 0.7143, 0.6667, 0.75, 0.7, 1.0, 0.9231, 1.0, 0.875, 0.7143, 0.8571, 0.8571, 0.7273, 0.8182, 1.0, 1.0, 0.7778, 0.6364, 1.0, 0.9, 1.0, 0.6, 0.875, 0.6667, 0.6667, 1.0, 0.8333, 0.8333, 1.0, 0.7778, 1.0, 0.8333, 1.0, 0.5556, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.875, 0.8571, 0.8333, 0.8889, 0.9091, 0.8182, 0.5556, 0.8333, 0.7857, 0.8571]"
random,0.6,0,random,0.88,0.88,0.88,-0.0,25,True,352,0,48,0,0,"[0.05, 0.0725, 0.0975, 0.125, 0.1625, 0.1975, 0.2375, 0.275, 0.3, 0.3325, 0.365, 0.4125, 0.4575, 0.5025, 0.53, 0.5625, 0.605, 0.6525, 0.6925, 0.7375, 0.7825, 0.8075, 0.8425, 0.8625, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88, 0.88]","{""0"": 0.8857, ""1"": 0.8788, ""2"": 0.8649, ""3"": 0.8929}","[1.0, 0.8571, 0.8, 0.7, 1.0, 0.8182, 1.0, 0.7857, 1.0, 1.0, 0.625, 1.0, 0.75, 0.8, 1.0, 0.8571, 0.8, 0.8333, 1.0, 1.0, 0.8571, 1.0, 0.75, 0.8571, 0.6667, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 1.0, 0.75, 0.9167, 0.7143, 0.6, 0.8333, 0.7, 0.8571, 0.75, 1.0, 0.8, 0.875, 0.9167, 1.0, 1.0, 1.0, 0.9167, 1.0, 1.0]"
random,0.6,1,random,0.835,0.835,0.835,0.0,23,True,334,0,53,13,0,"[0.05, 0.085, 0.1125, 0.1525, 0.1875, 0.2225, 0.265, 0.3125, 0.36, 0.42, 0.4775, 0.5325, 0.6025, 0.6575, 0.7225, 0.745, 0.765, 0.785, 0.7975, 0.81, 0.82, 0.83, 0.835, 0.835, 0.835, 0.835, 0.835, 0.835, 0.835, 0.835, 0.835, 0.835, 0.835, 0.835, 0.835, 0.835, 0.835, 0.835, 0.835, 0.835, 0.835]","{""0"": 0.7264, ""1"": 0.8333, ""2"": 0.9091, ""3"": 0.875}","[0.8, 0.8889, 1.0, 0.8571, 0.8333, 0.8, 0.8, 1.0, 0.8182, 1.0, 1.0, 0.8182, 0.8571, 1.0, 0.875, 0.8333, 0.8333, 1.0, 0.8571, 1.0, 1.0, 0.8571, 0.9167, 1.0, 0.75, 0.0, 0.75, 0.8, 1.0, 0.0769, 0.7143, 0.875, 0.9091, 1.0, 1.0, 1.0, 0.9091, 0.75, 0.5556, 1.0, 0.7143, 0.8889, 0.8889, 0.7778, 1.0, 0.9167, 0.75, 1.0, 0.9167, 0.8571]"
random,0.7,0,random,0.6875,0.6875,0.5985,0.089,40,False,275,0,51,74,0,"[0.05, 0.0675, 0.09, 0.1225, 0.155, 0.2025, 0.24, 0.2675, 0.29, 0.31, 0.335, 0.3525, 0.375, 0.3775, 0.38, 0.3825, 0.385, 0.3875, 0.395, 0.4075, 0.4175, 0.43, 0.4425, 0.4475, 0.4575, 0.4625, 0.465, 0.47, 0.48, 0.4925, 0.5075, 0.525, 0.535, 0.5575, 0.5675, 0.575, 0.595, 0.6175, 0.65, 0.675, 0.6875]","{""0"": 0.8515, ""1"": 0.1944, ""2"": 0.9375, ""3"": 0.8191}","[0.8, 1.0, 0.0, 0.8333, 0.8, 1.0, 0.0, 0.9167, 1.0, 1.0, 0.0, 1.0, 0.8, 0.7273, 0.0, 1.0, 0.6667, 0.8889, 0.0, 0.875, 0.6667, 1.0, 0.1111, 1.0, 1.0, 1.0, 0.0909, 1.0, 0.8571, 1.0, 0.0, 0.9091, 0.625, 0.7778, 0.1111, 1.0, 1.0, 0.7, 0.7, 1.0, 0.8333, 1.0, 0.8, 0.8, 0.8182, 0.5714, 0.8571, 1.0, 0.8889, 0.7143]"
random,0.7,1,random,0.755,0.755,0.755,0.0,20,True,302,0,47,51,0,"[0.05, 0.0875, 0.12, 0.1725, 0.24, 0.31, 0.38, 0.4425, 0.5125, 0.585, 0.6125, 0.6375, 0.66, 0.675, 0.6975, 0.715, 0.725, 0.74, 0.7525, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755, 0.755]","{""0"": 0.9027, ""1"": 0.8864, ""2"": 0.8922, ""3"": 0.3229}","[0.4, 1.0, 1.0, 1.0, 1.0, 0.8889, 0.8571, 1.0, 0.0667, 1.0, 1.0, 1.0, 0.0, 0.8, 1.0, 0.75, 0.0, 0.8, 0.7143, 0.7778, 0.125, 1.0, 1.0, 0.8333, 0.2222, 0.8333, 0.8, 0.9, 0.0, 1.0, 1.0, 1.0, 0.0, 0.7143, 0.75, 0.9091, 0.875, 0.875, 1.0, 1.0, 0.6667, 0.9, 0.8, 0.8571, 0.8889, 1.0, 0.7143, 0.8, 0.75, 1.0]"
random,0.8,0,random,0.3125,0.3125,0.3125,0.0,12,True,125,0,59,216,0,"[0.05, 0.0775, 0.1025, 0.1425, 0.18, 0.2125, 0.2425, 0.2575, 0.28, 0.2925, 0.305, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125]","{""0"": 0.1735, ""1"": 0.7374, ""2"": 0.283, ""3"": 0.0521}","[0.2, 0.1667, 0.8, 0.0, 0.0, 0.0, 0.9091, 0.0, 0.3333, 0.0, 0.875, 0.0, 0.0, 0.2222, 0.875, 0.0, 0.0, 1.0, 1.0, 0.0, 0.125, 1.0, 0.7778, 0.0, 0.0909, 0.0, 1.0, 0.875, 0.1111, 0.0, 0.9091, 0.6667, 0.0, 0.125, 0.0, 0.75, 0.0, 0.0, 0.0, 0.8571, 0.0, 0.125, 0.8333, 0.0, 0.0, 0.0, 0.8333, 0.0, 0.1, 0.0]"
random,0.8,1,random,0.6325,0.6325,0.6325,-0.0,27,True,253,0,65,82,0,"[0.05, 0.075, 0.105, 0.1375, 0.1575, 0.18, 0.2075, 0.2325, 0.255, 0.28, 0.3075, 0.34, 0.365, 0.3875, 0.4075, 0.425, 0.435, 0.4475, 0.46, 0.4775, 0.49, 0.5025, 0.525, 0.56, 0.6, 0.62, 0.6325, 0.6325, 0.6325, 0.6325, 0.6325, 0.6325, 0.6325, 0.6325, 0.6325, 0.6325, 0.6325, 0.6325, 0.6325, 0.6325, 0.6325]","{""0"": 0.83, ""1"": 0.8692, ""2"": 0.0333, ""3"": 0.7157}","[0.8, 1.0, 0.6364, 0.0, 0.8889, 1.0, 0.9231, 0.2857, 0.9167, 1.0, 0.625, 0.0, 0.9091, 1.0, 1.0, 0.0, 0.875, 0.6, 0.8571, 0.0, 0.8, 0.5, 0.8571, 0.0, 0.8333, 0.7273, 0.8889, 0.0, 0.2222, 0.8, 1.0, 0.1429, 0.0, 0.8333, 0.8333, 0.0, 0.6667, 0.875, 0.7778, 0.0, 1.0, 0.8333, 1.0, 0.0, 0.6667, 0.8571, 1.0, 0.0, 0.8889, 0.875]"
